Pos,Team,P,W,D,L,F,A,GD,Pts
1,Benfica,34,27,4,3,86,16,+70,85
2,Porto,34,25,7,2,74,13,+61,82
3,Sporting Lisbon,34,22,10,2,67,29,+38,76
4,Braga,34,17,7,10,55,28,+27,58
5,Vitoria Guimaraes,34,15,10,9,50,35,+15,55
6,Belenenses,34,12,12,10,34,35,-1,48
7,CD Nacional,34,13,8,13,45,46,-1,47
8,Pacos Ferreira,34,12,11,11,40,45,-5,47
9,Maritimo,34,12,8,14,46,45,+1,44
10,Rio Ave,34,10,13,11,38,42,-4,43
11,Moreirense,34,11,10,13,33,42,-9,43
12,Estoril-Praia,34,9,13,12,38,56,-18,40
13,Boavista,34,9,7,18,27,50,-23,34
14,Academica,34,4,17,13,26,46,-20,29
15,Vitoria Setubal,34,7,8,19,24,56,-32,29
16,Arouca,34,7,7,20,26,50,-24,28
17,Gil Vicente,34,4,11,19,25,60,-35,23
18,Penafiel,34,5,7,22,29,69,-40,22
