Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,30,22,3,5,65,20,+45,69
2,Sporting Lisbon,30,20,8,2,54,15,+39,68
3,Benfica,30,20,7,3,55,20,+35,67
4,Braga,30,14,8,8,35,30,+5,50
5,Belenenses,30,15,4,11,36,29,+7,49
6,Pacos Ferreira,30,10,12,8,31,36,-5,42
7,Leiria,30,10,11,9,25,27,-2,41
8,CD Nacional,30,11,6,13,41,38,+3,39
9,Boavista,30,8,11,11,32,34,-2,35
10,Estrela da Amadora,30,9,8,13,23,36,-13,35
11,Naval,30,7,11,12,28,37,-9,32
12,Maritimo,30,8,8,14,30,44,-14,32
13,Academica,30,6,8,16,28,46,-18,26
14,Vitoria Setubal,30,5,9,16,21,45,-24,24
15,Beira Mar,30,4,11,15,28,55,-27,23
16,Aves,30,5,7,18,22,42,-20,22
