Team,Avg_Pos
AC Milan,4.769230769230769
AS Roma,3.769230769230769
Atalanta,11.307692307692308
Bologna,16.0
Brescia,20.846153846153847
Cagliari,14.538461538461538
Fiorentina,7.230769230769231
Genoa,12.538461538461538
Inter Milan,4.076923076923077
Juventus,3.769230769230769
Lazio,7.153846153846154
Lecce,20.384615384615383
Napoli,5.6923076923076925
Parma,14.846153846153847
Sampdoria,11.461538461538462
Sassuolo,16.615384615384617
SPAL,20.076923076923077
Torino,14.0
Udinese,10.615384615384615
Verona,19.307692307692307
