Pos,Team,P,W,D,L,F,A,GD,Pts
1,Galatasaray,34,20,9,5,72,36,+36,69
2,Istanbul Basaksehir,34,19,10,5,49,22,+27,67
3,Besiktas,34,19,8,7,72,46,+26,65
4,Trabzonspor,34,18,9,7,64,46,+18,63
5,Yeni Malatyaspor,34,13,8,13,47,46,+1,47
6,Fenerbahce,34,11,13,10,44,44,+0,46
7,Antalyaspor,34,13,6,15,39,55,-16,45
8,Konyaspor,34,9,17,8,40,38,+2,44
9,Alanyaspor,34,12,8,14,37,43,-6,44
10,Caykur Rizespor,34,9,14,11,48,50,-2,41
11,Sivasspor,34,10,11,13,49,54,-5,41
12,Kayserispor,34,10,11,13,35,50,-15,41
13,Ankaragucu,34,11,7,16,38,53,-15,40
14,Kasimpasa,34,11,6,17,53,62,-9,39
15,Goztepe,34,11,5,18,37,42,-5,38
16,Bursaspor,34,7,16,11,28,37,-9,37
17,Erzurum Buyuksehir Belediyespor,34,8,11,15,36,43,-7,35
18,Akhisar Belediye,34,6,9,19,33,54,-21,27
