Pos,Team,P,W,D,L,F,A,GD,Pts
1,Rangers,38,26,9,3,82,28,+54,87
2,Celtic,38,25,6,7,75,39,+36,81
3,Dundee Utd,38,17,12,9,55,47,+8,63
4,Hibernian,38,15,9,14,58,55,+3,54
5,Motherwell,38,13,14,11,52,54,-2,53
6,Hamilton,38,13,10,15,39,46,-7,49
7,Hearts,38,13,9,16,35,46,-11,48
8,St Johnstone,38,12,11,15,57,61,-4,47
9,Aberdeen,38,10,11,17,36,52,-16,41
10,St Mirren,38,7,13,18,36,49,-13,34
11,Kilmarnock,38,8,9,21,29,51,-22,33
12,Falkirk,38,6,13,19,31,57,-26,31
