Pos,Team,P,W,D,L,F,A,GD,Pts
1,Benfica,34,29,1,4,88,22,+66,88
2,Sporting Lisbon,34,27,5,2,79,21,+58,86
3,Porto,34,23,4,7,67,30,+37,73
4,Braga,34,16,10,8,54,35,+19,58
5,Arouca,34,13,15,6,47,38,+9,54
6,Rio Ave,34,14,8,12,44,44,+0,50
7,Pacos Ferreira,34,13,10,11,43,42,+1,49
8,Estoril-Praia,34,13,8,13,40,41,-1,47
9,Belenenses,34,10,11,13,44,66,-22,41
10,Vitoria Guimaraes,34,9,13,12,45,53,-8,40
11,CD Nacional,34,10,8,16,40,56,-16,38
12,Moreirense,34,9,9,16,38,54,-16,36
13,Maritimo,34,10,5,19,45,63,-18,35
14,Boavista,34,8,9,17,24,41,-17,33
15,Tondela,34,8,6,20,34,54,-20,30
16,Vitoria Setubal,34,6,12,16,40,61,-21,30
17,Uniao da Madeira,34,7,8,19,27,50,-23,29
18,Academica de Coimbra,34,5,10,19,32,60,-28,25
