Pos,Team,P,W,D,L,F,A,GD,Pts
1,Celtic,38,34,4,0,106,25,+81,106
2,Aberdeen,38,24,4,10,74,35,+39,76
3,Rangers,38,19,10,9,56,44,+12,67
4,St Johnstone,38,17,7,14,50,46,+4,58
5,Hearts,38,12,10,16,55,52,+3,46
6,Partick Thistle,38,10,12,16,38,54,-16,42
7,Ross County,38,11,13,14,48,58,-10,46
8,Kilmarnock,38,9,14,15,36,56,-20,41
9,Motherwell,38,10,8,20,46,69,-23,38
10,Dundee,38,10,7,21,38,62,-24,37
11,Hamilton,38,7,14,17,37,56,-19,35
12,Inverness CT,38,7,13,18,44,71,-27,34
