Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,30,27,3,0,73,16,+57,84
2,Benfica,30,20,3,7,61,31,+30,63
3,Sporting Lisbon,30,13,9,8,41,31,+10,48
4,Braga,30,13,7,10,45,33,+12,46
5,Vitoria Guimaraes,30,12,7,11,36,37,-1,43
6,CD Nacional,30,11,9,10,28,31,-3,42
7,Pacos Ferreira,30,10,11,9,35,42,-7,41
8,Rio Ave,30,10,8,12,35,33,+2,38
9,Maritimo,30,9,8,13,33,32,+1,35
10,Leiria,30,9,8,13,25,38,-13,35
11,Olhanense,30,7,13,10,24,34,-10,34
12,Vitoria Setubal,30,8,10,12,29,42,-13,34
13,Beira Mar,30,7,12,11,32,36,-4,33
14,Academica,30,7,9,14,32,48,-16,30
15,Portimonense,30,6,7,17,29,49,-20,25
16,Naval,30,5,8,17,26,51,-25,23
