Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto (C),34,24,7,3,54,16,38,79
2,Sporting CP,34,22,6,6,50,24,26,72
3,Benfica,34,20,7,7,51,29,22,67
4,Braga,34,17,7,10,38,22,16,58
5,Nacional,34,14,10,10,40,32,8,52
6,Boavista,34,12,14,8,37,29,8,50
7,União de Leiria,34,13,8,13,44,42,2,47
8,Vitória de Setúbal,34,14,4,16,28,33,−5,46
9,Estrela da Amadora,34,12,9,13,31,33,−2,45
10,Marítimo,34,10,14,10,38,37,1,44
11,Paços de Ferreira,34,11,9,14,38,49,−11,42
12,Gil Vicente (R),34,11,7,16,37,42,−5,40
13,Académica,34,10,9,15,37,48,−11,39
14,Naval 1º de Maio,34,11,6,17,35,48,−13,39
15,Belenenses,34,11,6,17,40,42,−2,39
16,Rio Ave (R),34,8,10,16,34,53,−19,34
17,Vitória de Guimarães (R),34,8,10,16,28,41,−13,34
18,Penafiel (R),34,2,9,23,21,61,−40,15
