Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,30,23,6,1,69,19,+50,75
2,Benfica,30,21,6,3,66,27,+39,69
3,Braga,30,19,5,6,59,29,+30,62
4,Sporting Lisbon,30,18,5,7,47,26,+21,59
5,Maritimo,30,14,8,8,41,38,+3,50
6,Vitoria Guimaraes,30,14,3,13,40,40,+0,45
7,CD Nacional,30,13,5,12,48,50,-2,44
8,Olhanense,30,9,12,9,36,38,-2,39
9,Gil Vicente,30,8,10,12,31,42,-11,34
10,Pacos Ferreira,30,8,7,15,35,53,-18,31
11,Vitoria Setubal,30,8,6,16,24,49,-25,30
12,Academica,30,7,8,15,27,38,-11,29
13,Beira Mar,30,8,5,17,26,38,-12,29
14,Rio Ave,30,7,7,16,33,42,-9,28
15,Feirense,30,5,9,16,27,49,-22,24
16,Leiria,30,5,4,21,25,56,-31,19
