Pos,Team,P,W,D,L,F,A,GD,Pts
1,Fenerbahçe (C),34,23,5,6,74,33,41,74
2,Galatasaray,34,18,11,5,59,32,27,65
3,Beşiktaş,34,17,11,6,53,33,20,62
4,Trabzonspor,34,14,11,9,53,41,12,53
5,Sivasspor,34,16,5,13,60,55,5,53
6,Kasımpaşa,34,13,12,9,56,39,17,51
7,Kardemir Karabükspor,34,13,11,10,33,34,−1,50
8,Bursaspor,34,12,10,12,40,46,−6,46
9,Gençlerbirliği,34,13,6,15,39,43,−4,45
10,Akhisar Belediyespor,34,12,8,14,44,55,−11,44
11,Konyaspor,34,11,9,14,48,45,3,42
12,Eskişehirspor,34,10,12,12,33,35,−2,42
13,Çaykur Rizespor,34,10,12,12,43,43,0,42
14,Kayseri Erciyesspor,34,10,7,17,34,50,−16,37
15,Gaziantepspor,34,10,7,17,38,58,−20,37
16,Elazığspor (R),34,10,4,20,38,62,−24,34
17,Antalyaspor (R),34,6,13,15,34,47,−13,31
18,Kayserispor (R),34,7,8,19,30,58,−28,29
