Pos,Team,P,W,D,L,F,A,GD,Pts
1,Feyenoord,34,26,4,4,86,25,+61,82
2,Ajax,34,25,6,3,79,23,+56,81
3,PSV Eindhoven,34,22,10,2,68,23,+45,76
4,FC Utrecht,34,18,8,8,54,38,+16,62
5,Vitesse Arnhem,34,15,6,13,51,40,+11,51
6,AZ Alkmaar,34,12,13,9,56,52,+4,49
7,Twente,34,12,9,13,48,50,-2,45
8,FC Groningen,34,10,13,11,55,51,+4,43
9,SC Heerenveen,34,12,7,15,54,53,+1,43
10,Heracles Almelo,34,12,7,15,53,55,-2,43
11,ADO Den Haag,34,11,5,18,37,59,-22,38
12,Excelsior,34,9,10,15,43,60,-17,37
13,Willem II,34,9,9,16,29,44,-15,36
14,PEC Zwolle,34,9,8,17,39,67,-28,35
15,Sparta Rotterdam,34,9,7,18,42,61,-19,34
16,N.E.C.,34,9,7,18,32,59,-27,34
17,Roda JC Kerkrade,34,7,12,15,26,51,-25,33
18,Go Ahead Eagles,34,6,5,23,32,73,-41,23
