Pos,Team,P,W,D,L,F,A,GD,Pts
1,Juventus,38,29,12,5,77,27,+50,91
2,AS Roma,38,28,20,7,90,38,+52,87
3,Napoli,38,26,23,4,94,39,+55,86
4,Atalanta,38,21,23,8,62,41,+21,72
5,Lazio,38,21,28,10,74,51,+23,70
6,AC Milan,38,18,27,11,57,45,+12,63
7,Inter Milan,38,19,24,14,72,49,+23,62
8,Fiorentina,38,16,27,10,63,57,+6,60
9,Torino,38,13,37,11,71,66,+5,53
10,Sampdoria,38,12,29,14,49,55,-6,48
11,Cagliari,38,14,36,19,55,76,-21,47
12,Sassuolo,38,13,32,18,58,63,-5,46
13,Udinese,38,12,27,17,47,56,-9,45
14,Chievo,38,12,32,19,43,61,-18,43
15,Bologna,38,11,31,19,40,58,-18,41
16,Genoa,38,9,26,20,38,64,-26,36
17,Crotone,38,9,28,22,34,58,-24,34
18,Empoli,38,8,33,22,29,61,-32,32
19,Palermo,38,6,35,24,33,77,-44,26
20,Pescara,38,3,42,26,37,81,-44,18
