Pos,Team,P,W,D,L,F,A,GD,Pts
1,Benfica,30,24,4,2,78,20,+58,76
2,Braga,30,22,5,3,48,20,+28,71
3,Porto,30,21,5,4,70,26,+44,68
4,Sporting Lisbon,30,13,9,8,42,26,+16,48
5,Maritimo,30,11,8,11,42,43,-1,41
6,Vitoria Guimaraes,30,11,8,11,31,34,-3,41
7,CD Nacional,30,10,9,11,36,46,-10,39
8,Naval,30,10,6,14,20,35,-15,36
9,Pacos Ferreira,30,8,11,11,32,37,-5,35
10,Leiria,30,9,8,13,35,41,-6,35
11,Academica,30,8,9,13,37,42,-5,33
12,Rio Ave,30,6,13,11,22,33,-11,31
13,Olhanense,30,5,14,11,31,46,-15,29
14,Vitoria Setubal,30,5,10,15,29,57,-28,25
15,Belenenses,30,4,11,15,23,44,-21,23
16,Leixoes,30,5,6,19,25,51,-26,21
