Pos,Team,P,W,D,L,F,A,GD,Pts
1,Benfica,34,28,3,3,103,31,+72,87
2,Porto,34,27,4,3,74,20,+54,85
3,Sporting Lisbon,34,23,5,6,72,33,+39,74
4,Braga,34,21,4,9,56,37,+19,67
5,Vitoria Guimaraes,34,15,7,12,46,34,+12,52
6,Moreirense,34,16,4,14,39,44,-5,52
7,Rio Ave,34,12,9,13,50,52,-2,45
8,Boavista,34,13,5,16,34,40,-6,44
9,Belenenses,34,10,13,11,42,51,-9,43
10,Santa Clara,34,11,9,14,43,45,-2,42
11,Maritimo,34,12,3,19,26,44,-18,39
12,Portimonense,34,11,6,17,44,59,-15,39
13,Vitoria Setubal,34,8,12,14,28,39,-11,36
14,Aves,34,10,6,18,35,49,-14,36
15,Tondela,34,9,8,17,40,54,-14,35
16,GD Chaves,34,8,8,18,34,57,-23,32
17,CD Nacional,34,7,7,20,33,73,-40,28
18,Feirense,34,3,11,20,27,64,-37,20
