Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,30,21,7,2,61,18,+43,70
2,Sporting Lisbon,30,20,6,4,45,20,+25,66
3,Benfica,30,17,8,5,54,32,+22,59
4,CD Nacional,30,15,7,8,47,32,+15,52
5,Braga,30,13,11,6,38,21,+17,50
6,Leixoes,30,12,9,9,30,31,-1,45
7,Academica,30,10,9,11,28,32,-4,39
8,Vitoria Guimaraes,30,10,8,12,32,36,-4,38
9,Maritimo,30,9,10,11,35,36,-1,37
10,Pacos Ferreira,30,9,7,14,37,42,-5,34
11,Estrela da Amadora,30,8,10,12,26,38,-12,34
12,Rio Ave,30,8,6,16,20,35,-15,30
13,Naval,30,7,8,15,25,39,-14,29
14,Vitoria Setubal,30,7,5,18,21,46,-25,26
15,Belenenses,30,5,9,16,28,52,-24,24
16,Trofense,30,5,8,17,25,42,-17,23
