Pos,Team,P,W,D,L,F,A,GD,Pts
1,Ajax,34,23,7,4,93,36,+57,76
2,Feyenoord,34,21,7,6,70,37,+33,70
3,PSV Eindhoven,34,21,6,7,87,47,+40,69
4,AZ Alkmaar,34,19,8,7,64,35,+29,65
5,SC Heerenveen,34,18,10,6,79,59,+20,64
6,Twente,34,17,9,8,82,46,+36,60
7,Vitesse Arnhem,34,15,8,11,48,43,+5,53
8,N.E.C.,34,13,6,15,42,45,-3,45
9,Waalwijk,34,13,6,15,40,49,-9,45
10,Roda JC Kerkrade,34,14,2,18,55,70,-15,44
11,FC Utrecht,34,11,10,13,55,58,-3,43
12,Heracles Almelo,34,11,7,16,52,62,-10,40
13,NAC Breda,34,10,8,16,45,54,-9,38
14,FC Groningen,34,10,7,17,41,61,-20,37
15,ADO Den Haag,34,8,8,18,38,67,-29,32
16,VVV-Venlo,34,9,4,21,42,78,-36,31
17,De Graafschap,34,6,6,22,36,74,-38,24
18,Excelsior,34,4,7,23,28,76,-48,19
