Pos,Team,P,W,D,L,F,A,GD,Pts
1,Ajax,34,22,10,2,83,31,+52,76
2,PSV Eindhoven,34,22,3,9,103,43,+60,69
3,Feyenoord,34,21,6,7,64,38,+26,69
4,Vitesse Arnhem,34,19,7,8,68,42,+26,64
5,FC Utrecht,34,19,6,9,55,41,+14,63
6,Twente,34,17,11,6,60,33,+27,62
7,FC Groningen,34,12,7,15,36,53,-17,43
8,SC Heerenveen,34,11,9,14,50,63,-13,42
9,ADO Den Haag,34,9,13,12,49,63,-14,40
10,AZ Alkmaar,34,10,9,15,56,54,+2,39
11,PEC Zwolle,34,10,9,15,42,55,-13,39
12,Heracles Almelo,34,9,11,14,58,71,-13,38
13,NAC Breda,34,10,8,16,40,56,-16,38
14,Waalwijk,34,9,10,15,39,48,-9,37
15,N.E.C.,34,10,7,17,44,66,-22,37
16,Roda JC Kerkrade,34,7,12,15,51,69,-18,33
17,VVV-Venlo,34,6,10,18,33,62,-29,28
18,Willem II,34,5,8,21,33,76,-43,23
