Pos,Team,P,W,D,L,F,A,GD,Pts
1,PSV,34,26,6,2,71,23,48,84
2,AZ,34,23,5,6,78,32,46,74
3,Feyenoord,34,21,8,5,79,34,45,71
4,Ajax[a],34,18,6,10,66,41,25,60
5,Groningen,34,16,8,10,46,43,3,56
6,Utrecht,34,16,7,11,49,44,5,55
7,Heerenveen,34,14,8,12,63,58,5,50
8,Roda JC,34,15,5,14,57,54,3,50
9,Twente,34,13,8,13,44,36,8,47
10,NEC,34,13,8,13,43,43,0,47
11,Vitesse,34,13,5,16,52,54,−2,44
12,RKC,34,11,6,17,48,58,−10,39
13,Heracles,34,11,6,17,35,58,−23,39
14,Sparta,34,10,7,17,34,50,−16,37
15,ADO,34,10,5,19,36,62,−26,35
16,NAC,34,8,9,17,45,66,−21,33
17,Willem II,34,7,7,20,45,66,−21,28
18,RBC,34,1,6,27,22,90,−68,9
