Pos,Team,P,W,D,L,F,A,GD,Pts
1,Ajax,34,22,7,5,72,30,+42,73
2,Twente,34,21,8,5,65,34,+31,71
3,PSV Eindhoven,34,20,9,5,79,34,+45,69
4,AZ Alkmaar,34,17,8,9,55,44,+11,59
5,FC Groningen,34,17,6,11,65,52,+13,57
6,Roda JC Kerkrade,34,14,13,7,65,50,+15,55
7,ADO Den Haag,34,16,6,12,63,55,+8,54
8,Heracles Almelo,34,14,7,13,65,56,+9,49
9,FC Utrecht,34,13,8,13,55,51,+4,47
10,Feyenoord,34,12,8,14,53,54,-1,44
11,N.E.C.,34,10,13,11,57,56,+1,43
12,SC Heerenveen,34,10,11,13,60,54,+6,41
13,NAC Breda,34,12,5,17,44,60,-16,41
14,De Graafschap,34,9,11,14,31,56,-25,38
15,Vitesse Arnhem,34,9,8,17,42,61,-19,35
16,Excelsior,34,10,5,19,45,66,-21,35
17,VVV-Venlo,34,6,3,25,34,76,-42,21
18,Willem II,34,3,6,25,37,98,-61,15
