Pos,Team,P,W,D,L,F,A,GD,Pts
1,Celtic,38,28,5,5,84,26,+58,89
2,Rangers,38,27,5,6,84,33,+51,86
3,Motherwell,38,18,6,14,50,46,+4,60
4,Aberdeen,38,15,8,15,50,58,-8,53
5,Dundee Utd,38,14,10,14,53,47,+6,52
6,Hibernian,38,14,10,14,49,45,+4,52
7,Falkirk,38,13,10,15,45,49,-4,49
8,Hearts,38,13,9,16,47,55,-8,48
9,Inverness CT,38,13,4,21,51,62,-11,43
10,St Mirren,38,10,11,17,26,54,-28,41
11,Kilmarnock,38,10,10,18,39,52,-13,40
12,Gretna FC,38,5,8,25,32,83,-51,23
