Pos,Team,P,W,D,L,F,A,GD,Pts
1,Twente,34,27,5,2,63,23,+40,86
2,Ajax,34,27,4,3,106,20,+86,85
3,PSV Eindhoven,34,23,9,2,72,29,+43,78
4,Feyenoord,34,17,12,5,54,31,+23,63
5,AZ Alkmaar,34,19,5,10,64,34,+30,62
6,Heracles Almelo,34,17,5,12,54,49,+5,56
7,FC Utrecht,34,14,11,9,39,33,+6,53
8,FC Groningen,34,14,7,13,48,47,+1,49
9,Roda JC Kerkrade,34,14,5,15,56,60,-4,47
10,NAC Breda,34,12,10,12,42,49,-7,46
11,SC Heerenveen,34,11,4,19,44,64,-20,37
12,VVV-Venlo,34,8,11,15,43,57,-14,35
13,N.E.C.,34,8,9,17,35,59,-24,33
14,Vitesse Arnhem,34,8,8,18,38,62,-24,32
15,ADO Den Haag,34,7,9,18,38,59,-21,30
16,Sparta Rotterdam,34,6,8,20,30,66,-36,26
17,Willem II,34,7,2,25,36,70,-34,23
18,Waalwijk,34,5,0,29,30,80,-50,15
