Pos,Team,P,W,D,L,F,A,GD,Pts
1,Celtic,38,28,7,3,93,37,56,91
2,Heart of Midlothian,38,22,8,8,71,31,40,74
3,Rangers,38,21,10,7,67,37,30,73
4,Hibernian,38,17,5,16,61,56,5,56
5,Kilmarnock,38,15,10,13,63,64,−1,55
6,Aberdeen,38,13,15,10,46,40,6,54
7,Inverness Caledonian Thistle,38,15,13,10,51,38,13,58
8,Motherwell,38,13,10,15,55,61,−6,49
9,Dundee United,38,7,12,19,41,66,−25,33
10,Falkirk,38,8,9,21,35,64,−29,33
11,Dunfermline Athletic,38,8,9,21,33,68,−35,33
12,Livingston,38,4,6,28,25,79,−54,18
