Pos,Team,P,W,D,L,F,A,GD,Pts
1,Celtic,38,29,5,4,84,17,+67,92
2,Aberdeen,38,23,6,9,57,33,+24,75
3,Inverness CT,38,19,8,11,52,42,+10,65
4,St Johnstone,38,16,9,13,34,34,+0,57
5,Dundee Utd,38,17,5,16,58,56,+2,56
6,Dundee,38,11,12,15,46,57,-11,45
7,Hamilton,38,15,8,15,50,53,-3,53
8,Partick Thistle,38,12,10,16,48,44,+4,46
9,Ross County,38,12,8,18,46,63,-17,44
10,Kilmarnock,38,11,8,19,44,59,-15,41
11,Motherwell,38,10,6,22,38,63,-25,36
12,St Mirren,38,9,3,26,30,66,-36,30
