Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,30,24,6,0,70,14,+56,78
2,Benfica,30,24,5,1,77,20,+57,77
3,Pacos Ferreira,30,14,12,4,42,29,+13,54
4,Braga,30,16,4,10,60,44,+16,52
5,Estoril-Praia,30,13,6,11,47,37,+10,45
6,Sporting Lisbon,30,11,9,10,36,36,+0,42
7,Rio Ave,30,12,6,12,35,42,-7,42
8,CD Nacional,30,11,7,12,45,51,-6,40
9,Vitoria Guimaraes,30,11,7,12,36,47,-11,40
10,Maritimo,30,9,11,10,34,45,-11,38
11,Academica,30,6,10,14,33,45,-12,28
12,Vitoria Setubal,30,7,5,18,30,55,-25,26
13,Olhanense,30,5,10,15,26,42,-16,25
14,Gil Vicente,30,6,7,17,31,54,-23,25
15,Moreirense,30,5,9,16,30,51,-21,24
16,Beira Mar,30,5,8,17,35,55,-20,23
