Pos,Team,P,W,D,L,F,A,GD,Pts
1,Galatasaray (C),34,24,7,3,64,23,41,79
2,Fenerbahçe,34,22,7,5,72,37,35,73
3,Beşiktaş,34,23,4,7,58,32,26,73
4,Sivasspor,34,23,4,7,57,29,28,73
5,Kayserispor,34,15,10,9,50,31,19,55
6,Trabzonspor,34,14,7,13,44,39,5,49
7,Denizlispor,34,13,6,15,48,48,0,45
8,MKE Ankaragücü,34,11,10,13,36,44,−8,43
9,Gaziantepspor,34,11,10,13,36,45,−9,43
10,Ankaraspor,34,10,11,13,35,38,−3,41
11,Hacettepe Spor,34,10,10,14,30,36,−6,40
12,İstanbul B.B.,34,10,8,16,44,47,−3,38
13,Bursaspor,34,9,11,14,31,40,−9,38
14,Konyaspor,34,10,6,18,37,64,−27,36
15,Gençlerbirliği,34,9,8,17,44,51,−7,35
16,Manisaspor (R),34,7,8,19,42,62,−20,29
17,Çaykur Rizespor (R),34,7,8,19,32,64,−32,29
18,Kasımpaşa (R),34,8,5,21,26,56,−30,29
