Pos,Team,P,W,D,L,F,A,GD,Pts
1,Sunderland,46,27,7,12,76,47,+29,88
2,Birmingham,46,26,8,12,67,42,+25,86
3,Derby,46,25,9,12,62,46,+16,84
4,West Brom,46,22,10,14,81,55,+26,76
5,Wolverhampton,46,22,10,14,59,56,+3,76
6,Southampton,46,21,12,13,77,53,+24,75
7,Preston,46,22,8,16,64,53,+11,74
8,Stoke,46,19,16,11,62,41,+21,73
9,Sheff Wed,46,20,11,15,70,66,+4,71
10,Colchester,46,20,9,17,70,56,+14,69
11,Plymouth,46,17,16,13,63,62,+1,67
12,Crystal Palace,46,18,11,17,59,51,+8,65
13,Cardiff,46,17,13,16,57,53,+4,64
14,Ipswich,46,18,8,20,64,59,+5,62
15,Burnley,46,15,12,19,52,49,+3,57
16,Norwich,46,16,9,21,56,71,-15,57
17,Coventry,46,16,8,22,47,62,-15,56
18,QPR,46,14,11,21,54,68,-14,53
19,Leicester,46,13,14,19,49,64,-15,53
20,Barnsley,46,15,5,26,53,85,-32,50
21,Hull,46,13,10,23,51,67,-16,49
22,Southend,46,10,12,24,47,80,-33,42
23,Luton,46,10,10,26,53,81,-28,40
24,Leeds,46,13,7,26,46,72,-26,36
