Pos,Team,P,W,D,L,F,A,GD,Pts
1,Beşiktaş (C),34,25,4,5,75,35,40,79
2,Fenerbahçe,34,22,8,4,60,27,33,74
3,Konyaspor,34,19,9,6,44,33,11,66
4,İstanbul Başakşehir,34,16,11,7,54,36,18,59
5,Osmanlıspor,34,14,10,10,52,36,16,52
6,Galatasaray[a],34,13,12,9,69,49,20,51
7,Kasımpaşa,34,14,8,12,50,40,10,50
8,Akhisar Belediyespor,34,11,13,10,42,41,1,46
9,Antalyaspor,34,12,9,13,53,52,1,45
10,Gençlerbirliği,34,13,6,15,42,42,0,45
11,Bursaspor,34,13,5,16,47,55,−8,44
12,Trabzonspor,34,12,4,18,40,59,−19,40
13,Çaykur Rizespor,34,9,10,15,39,48,−9,37
14,Gaziantepspor,34,9,9,16,31,50,−19,36
15,Kayserispor,34,7,13,14,25,41,−16,34
16,Sivasspor (R),34,6,13,15,34,48,−14,31
17,Eskişehirspor (R),34,8,6,20,39,64,−25,30
18,Mersin İdmanyurdu (R),34,5,6,23,31,71,−40,21
