Pos,Team,P,W,D,L,F,A,GD,Pts
1,Benfica,30,23,5,2,58,18,+40,74
2,Sporting Lisbon,30,20,7,3,54,20,+34,67
3,Porto,30,19,4,7,57,25,+32,61
4,Estoril-Praia,30,15,9,6,42,26,+16,54
5,CD Nacional,30,11,12,7,43,33,+10,45
6,Maritimo,30,11,8,11,40,44,-4,41
7,Vitoria Setubal,30,10,9,11,41,41,+0,39
8,Braga,30,10,7,13,39,37,+2,37
9,Academica,30,9,10,11,25,35,-10,37
10,Vitoria Guimaraes,30,10,5,15,30,35,-5,35
11,Rio Ave,30,8,8,14,21,35,-14,32
12,Arouca,30,8,7,15,28,42,-14,31
13,Gil Vicente,30,8,7,15,23,37,-14,31
14,Belenenses,30,6,10,14,19,33,-14,28
15,Olhanense,30,6,6,18,21,49,-28,24
16,Pacos Ferreira,30,6,6,18,28,59,-31,24
