Pos,Team,P,W,D,L,F,A,GD,Pts
1,Celtic,38,30,3,5,84,21,+63,93
2,Rangers,38,26,5,7,77,28,+49,83
3,Motherwell,38,18,8,12,49,44,+5,62
4,Dundee Utd,38,16,11,11,62,50,+12,59
5,Hearts,38,15,7,16,45,43,+2,52
6,St Johnstone,38,14,8,16,43,50,-7,50
7,Kilmarnock,38,11,14,13,44,61,-17,47
8,St Mirren,38,9,16,13,39,51,-12,43
9,Aberdeen,38,9,14,15,36,44,-8,41
10,Inverness CT,38,10,9,19,42,60,-18,39
11,Hibernian,38,8,9,21,40,67,-27,33
12,Dunfermline,38,5,10,23,40,82,-42,25
