Season,Winner,Runner
2005–06,Liverpool,West Ham United
2006–07,Chelsea,Manchester United
2007–08,Portsmouth,Cardiff City
2008–09,Chelsea,Everton
2009–10,Chelsea,Portsmouth
2010–11,Manchester City,Stoke City
2011–12,Chelsea,Liverpool
2012–13,Wigan Athletic,Manchester City
2013–14,Arsenal,Hull City
2014–15,Arsenal,Aston Villa
2015–16,Manchester United,Crystal Palace
2016–17,Arsenal,Chelsea
2017–18,Chelsea,Manchester United
2018–19,Manchester City,Watford
