Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,34,28,4,2,82,18,+64,88
2,Benfica,34,25,6,3,80,22,+58,81
3,Sporting Lisbon,34,24,6,4,63,24,+39,78
4,Braga,34,24,3,7,74,29,+45,75
5,Rio Ave,34,15,6,13,40,42,-2,51
6,GD Chaves,34,13,8,13,47,55,-8,47
7,Maritimo,34,13,8,13,36,49,-13,47
8,Boavista,34,13,6,15,35,44,-9,45
9,Vitoria Guimaraes,34,13,4,17,45,56,-11,43
10,Portimonense,34,10,8,16,52,60,-8,38
11,Tondela,34,10,8,16,41,50,-9,38
12,Belenenses,34,9,10,15,33,46,-13,37
13,Aves,34,9,7,18,36,51,-15,34
14,Vitoria Setubal,34,7,11,16,39,62,-23,32
15,Moreirense,34,8,8,18,29,50,-21,32
16,Feirense,34,9,4,21,32,48,-16,31
17,Pacos Ferreira,34,7,9,18,33,59,-26,30
18,Estoril-Praia,34,8,6,20,29,61,-32,30
