Pos,Team,P,W,D,L,F,A,GD,Pts
1,Rangers,38,26,8,4,77,28,+49,86
2,Celtic,38,24,10,4,80,33,+47,82
3,Hearts,38,16,11,11,40,37,+3,59
4,Aberdeen,38,14,11,13,41,40,+1,53
5,Dundee Utd,38,13,14,11,47,50,-3,53
6,Motherwell,38,13,9,16,46,51,-5,48
7,Hibernian,38,11,14,13,42,46,-4,47
8,Kilmarnock,38,12,8,18,38,48,-10,44
9,Hamilton,38,12,5,21,30,53,-23,41
10,Falkirk,38,9,11,18,37,52,-15,38
11,St Mirren,38,9,10,19,33,52,-19,37
12,Inverness CT,38,10,7,21,37,58,-21,37
