Season,Winner,Runner
2005–06,Ajax,PSV
2006–07,Ajax,AZ
2007–08,Feyenoord,Roda JC
2008–09,Heerenveen,Twente
2009–10,Ajax,Feyenoord
2010–11,Twente,Ajax
2011–12,PSV,Heracles Almelo
2012–13,AZ,PSV
2013–14,PEC Zwolle,Ajax
2014–15,FC Groningen,PEC Zwolle
2015–16,Feyenoord,FC Utrecht
2016–17,Vitesse,AZ Alkmaar
2017–18,Feyenoord,AZ Alkmaar
2018–19,Ajax,Willem II
