,Team,Arrival_19,Departure_19,Arrival_18,Departure_18,Arrival_17,Departure_17,League,Total_Arrivals,Total_Departures,Average Transfer Spend
3,Bayer 04 Leverkusen,61.00,33.50,31.50,45.00,56.00,91.90,Bundesliga,148.5,170.4,-7.300000000000002
4,Borussia Mönchengladbach,1.80,39.50,38.10,32.55,32.95,37.25,Bundesliga,72.85,109.3,-12.15
5,TSG 1899 Hoffenheim,32.85,119.45,32.00,6.12,14.70,45.75,Bundesliga,79.55,171.32,-30.59
6,VfL Wolfsburg,28.80,15.30,40.00,4.80,73.75,36.00,Bundesliga,142.55,56.1,28.816666666666674
7,Hertha BSC,33.70,22.45,16.00,16.90,14.00,18.00,Bundesliga,63.7,57.349999999999994,2.1166666666666694
8,Eintracht Frankfurt,61.50,101.80,26.45,18.90,19.20,4.92,Bundesliga,107.15,125.61999999999999,-6.156666666666662
9,FC Schalke 04,24.00,15.85,61.70,46.15,49.30,7.10,Bundesliga,135.0,69.1,21.96666666666667
10,SV Werder Bremen,0,13.70,0,25.80,26.85,17.50,Bundesliga,26.85,57.0,-10.049999999999999
11,1.FSV Mainz 05,30.05,27.00,30.00,55.60,16.55,24.85,Bundesliga,76.6,107.44999999999999,-10.283333333333331
12,FC Augsburg,0,31.20,19.00,6.65,2.85,7.55,Bundesliga,21.85,45.4,-7.849999999999999
13,SC Freiburg,18.50,4.95,18.40,22.68,20.25,27.80,Bundesliga,57.15,55.43,0.5733333333333329
14,1. FC Köln,18.00,6.40,16.90,46.80,40.00,7.45,Bundesliga,74.9,60.65,4.750000000000003
15,Fortuna Düsseldorf,0,11.50,8.00,7.50,0.6,0.88,Bundesliga,8.6,19.88,-3.76
16,1.FC Union Berlin,7.40,1.25,2.80,6.80,1.58,0.2,Bundesliga,11.78,8.25,1.1766666666666665
17,SC Paderborn 07,0.1,5.00,0.8,0.5,0,1.50,Bundesliga,0.9,7.0,-2.033333333333333
0,Paris Saint-Germain,95.00,105.90,227.00,114.00,273.00,98.40,Ligue 1,595.0,318.3,92.23333333333333
1,Olympique Lyon,88.00,133.32,42.05,90.10,61.50,119.55,Ligue 1,191.55,342.96999999999997,-50.47333333333332
2,AS Monaco,140.00,83.00,148.85,330.25,123.60,234.50,Ligue 1,412.45000000000005,647.75,-78.43333333333332
3,LOSC Lille,88.60,143.00,8.90,69.80,68.50,31.10,Ligue 1,166.0,243.9,-25.96666666666667
4,Olympique Marseille,27.00,27.25,66.00,32.85,62.00,2.75,Ligue 1,155.0,62.85,30.71666666666667
5,OGC Nice,52.50,22.60,28.00,61.70,26.30,27.50,Ligue 1,106.8,111.80000000000001,-1.6666666666666714
