Pos,Team,P,W,D,L,F,A,GD,Pts
1,Porto,30,24,3,3,60,13,+47,75
2,Sporting Lisbon,30,16,7,7,46,28,+18,55
3,Vitoria Guimaraes,30,15,8,7,35,31,+4,53
4,Benfica,30,13,13,4,45,21,+24,52
5,Maritimo,30,14,4,12,39,28,+11,46
6,Vitoria Setubal,30,11,12,7,37,33,+4,45
7,Belenenses,30,11,10,9,35,33,+2,43
8,Braga,30,10,11,9,32,34,-2,41
9,Boavista,30,8,12,10,32,41,-9,36
10,CD Nacional,30,9,8,13,23,28,-5,35
11,Naval,30,9,7,14,26,45,-19,34
12,Academica,30,6,14,10,31,38,-7,32
13,Estrela da Amadora,30,6,13,11,29,41,-12,31
14,Leixoes,30,4,14,12,27,37,-10,26
15,Pacos Ferreira,30,6,7,17,31,49,-18,25
16,Leiria,30,3,7,20,25,53,-28,16
